"Title","Authors","Abstract","Keywords","DOI","Year","Source"
"Level of Confidence in Using an Android Robot as an Assistant in Robotics Microclasses","Ordoñez-Avila J.L.; Perdomo M.E.; Dubón J.F.I.; López K.S.M.; Agüero J.H.R.; Mendez I.","This study evaluates the effectiveness of ADAI, an interactive android-based teaching assistant, in fostering trust and reducing mistrust among engineering students during micro-classes. ADAI integrates computer vision, natural language processing, and speech synthesis to deliver adaptive explanations, detect student participation, and administer assessments via QR codes. A mixed-methods approach assessed trust and mistrust after student interaction with the system, using validated instruments focused on reliability, safety, and perceived risk. Statistical analyses included Shapiro-Wilk tests, Pearson correlations, and paired-samples t-tests. Results showed significant correlations between trust and mistrust dimensions, indicating interdependence between these perceptions. Paired-samples t-tests revealed significantly higher trust than mistrust scores, reflecting a generally positive reception of ADAI. Although exposure to robotics slightly increased perceived mistrust compared to non-exposure, trust levels remained stable, and no gender-based differences were observed. Overall, the findings suggest that ADAI supports interactive learning while maintaining positive perceptions of reliability and safety, highlighting its potential for enhancing engagement and trust in engineering education.  © 2026 IEEE.","Android-based teaching assistants; Educational robotics; Engineering education; Human-robot interaction; Trust in robotics","10.1109/EDUNINE62390.2026.11546906",2026,"EDUNINE 2026 - 10th IEEE World Engineering Education Conference: The Role of Engineering and Computer Technology as Artificial Intelligence turns into Reality: A Challenge for Professional Education, Proceedings"
"SECURITY ANALYSIS OF AN IOT COMMUNICATION SYSTEM WITH A VIRTUAL MACHINE IN AWS","Carolina Villagra Bautista S.; Max Carrasco Bardales A.; Miguel Mejía Saavedra J.; Carlos Dubón Portillo J.","This research explored the issue of security when communicating with IoT devices using the MQTT protocol in conjunction with cloud computing. IoT devices pose a greater risk than electronic devices because they do not have software updates, so if a vulnerability is found, the device will remain that way, in addition to allowing access to your network and local data. Despite the risks that IoT devices can pose, the growth in their use shows the importance of streamlining processes and activities through their widespread use in projects in different areas, such as home automation and industry. The use of communication protocols such as MQTT is used when talking about IoT, since with its addition a secure channel is used for the passage of information from the IoT device to a broker that allows the flow of data to the receiver. Cybersecurity protects us from attacks from the Internet by protecting the systems we use, therefore performing penetration tests with specific penetration tools help to perform an analysis that revealed the weaknesses of the IoT communication system and then proceed to reduce vulnerabilities with services in AWS, configurations in the intermediary broker MQTT and rules to protect passwords. © 2025 Latin American and Caribbean Consortium of Engineering Institutions. All rights reserved.","Cloud computing; cybersecurity; IoT; MQTT; Pentesting","10.18687/LACCEI2025.1.1.1789",2025,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology"
"Effect of remittances on GDP and the trade deficit in Honduras; [Efecto de las remesas en el PIB y el déficit comercial en Honduras]","Santos Munguía R.J.","The purpose of this article is to analyze the effect of workers’ remittances on the Gross Domestic Product (GDP) and the trade deficit in Honduras. The article was conducted under a quantitative approach, using time series data with annual periodicity from 1990 to 2019 extracted from the Central Bank of Honduras (BCH) and the World Bank (WB). A vector autoregressive model (VAR) is established. The results are presented using impulse response function figures (IRF) and Granger causality table of the VAR model, which reveal a positive response of GDP and a negative response of the trade deficit in the short and medium term to the shock caused by the inflow of workers’ remittances. Remittances were also found to be predictive of GDP variability at the 0.1 significance level and of the trade deficit at the 0.05 significance level. © 2023 Universidad de Antioquia. All rights reserved.","GDP; Remittances; trade deficit; VAR","10.17533/udea.le.n99a350324",2023,"Lecturas de Economia"
"Biomechanical Analysis of Functional Movement in Athletes Using Kinovea","García T.C.G.; Parada M.F.B.; Leiva K.M.R.","The Functional Movement Assessment (FMS) is a widely utilized tool in sports for evaluating and enhancing physical performance and health in athletes and individuals. Kinovea, a video analysis software designed for biomechanical analysis, complements the FMS by providing a precise assessment of functional movement quality, contributing to injury prevention and sports performance. This study aimed to investigate whether Kinovea could replace visual assessment in FMS for detailed movement biomechanics analysis. Twenty-two participants from university sports teams (volleyball, basketball, and soccer) underwent four FMS exercises: deep squat, active straight leg raise, hurdle step, and in-line lunge recorded and analyzed using Kinovea. Results revealed that Kinovea, alongside expert visual assessment, enhances FMS evaluation by offering objective angular data for knee, hip, and ankle joints. The study concluded by assigning angular ranges to FMS scores, simplifying, and refining the evaluation process. Notably, the research found no significant correlation between athletes’ movement quality and sociodemographic variables, highlighting the influence of other factors on movement quality. This underscores the necessity of considering various factors in evaluating and enhancing athletes’ physical performance. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Biomechanics; Functional Movement Assessment (FMS); Kinovea; Sports Biomechanics; Sports Performance","10.1007/978-3-031-62523-7_52",2024,"IFMBE Proceedings"
"Feasibility Study for the Manufacturing of 3D Printing Filaments from Recycled PET: A Design of Experiments Approach","Sosa Valenzuela G.E.; Pascua Cantarero P.M.","The research presented below aimed to determine the feasibility of recycling Polyethylene Terephthalate (PET) bottles through the manufacturing and use of 3D printing filaments at a Honduran University using Design of Experiments. Additive manufacturing has gained importance in recent years due to its advantages and innovative applications. It is used in various industries because it allows the creation of highly customized products and complex designs. One of its disadvantages is the cost of printing filaments; however, using filaments made from PET bottles could reduce associated costs. As a first step, a filament extruder was developed, and PET printing filament was manufactured through a filament extrusion process. The amount of filament that could be obtained from each size of PET bottle was then measured. Cylindrical specimens, 2.54 centimeters in diameter and 5.08 centimeters in height were 3D printed and subjected to compression strength tests in a hydraulic press to determine the material's strength. The strength of the PET-based specimens was compared with those made from Polylactic Acid (PLA). Finally, a factorial design with two factors, two levels, and ten replications was developed in Minitab, and the variance of the resistance of the specimens made from filaments of green and transparent bottles of two and three liters was analyzed. The results of the factorial design demonstrated a significant difference in the strength of the specimens manufactured from the four groups of bottles. This indicates that the color and volume of the bottle significantly affect the strength of the specimens printed with Polyethylene Terephthalate (PET). © 2024 Authors.","3D printing; Design of Experiments; filament extrusion; recycling PET bottles; Strength tests","10.11159/jffhmt.2024.038",2024,"Journal of Fluid Flow, Heat and Mass Transfer"
"DESIGN OF BRIQUETTES AS A SUSTAINABLE ALTERNATIVE TO FIREWOOD IN SAN PEDRO SULA, HONDURAS 2023; [DISEÑO DE BRIQUETAS COMO ALTERNATIVA SOSTENIBLE A LA LEÑA EN SAN PEDRO SULA, HONDURAS 2023]","David Andrés R.M.; Ada S.R.","Briquettes were created as a sustainable and environmentally friendly alternative, since 70% was composed of recycled solid waste. Data were collected for calorific value, ash percentage, temperature and burning time for the briquette: log ratio. The results for egg carton (Type 1) and newspaper (Type 2) briquettes were compared with the ISO 17225-7 standard for briquettes of non-woody origin, which was useful as a reference since there are no standards in the country for this type of artisanal briquettes. Significant data were revealed in all stages: the applied pressure obtained a value of 21.8kN to 26.2kN in Type 1 briquettes and 5.5kN to 6.2kN in Type 2 briquettes. The density and moisture content of the 10x25cm briquettes is between 0.24-0.28 g/cm3 with 21%-24% for egg carton briquettes and 0.22-0.26 g/cm3 with 17%-19% for newspaper briquettes. The ash percentage for the dimensions 10x25cm ranged between 12.35%-14.33% for egg carton briquettes and 10.49%-12.48% for newspaper briquettes and for 10x15cm the values obtained were 6%-8% for egg carton briquettes and 5%-6% for newspaper briquettes. The calorific value obtained was 2.479 MJ/kg for egg carton briquettes and 2.47MJ/kg for newsprint briquettes. © 2024 Latin American and Caribbean Consortium of Engineering Institutions. All rights reserved.","briquettes; deforestation; environment; firewood; sustainable","10.18687/LACCEI2024.1.1.1105",2024,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology"
"Artificial Intelligence for All: Challenges and Harnessing Opportunities in AI Democratization","Castro K.A.; Siwady J.A.; Castillo E.; Alonzo A.; Cardona M.; Perdomo M.E.","This study analyzes the technical, economic, and social barriers limiting access to artificial intelligence (AI) in less developed regions. Using a non-experimental, quantitative approach, methods such as interviews and content analysis are employed to understand perceptions and contexts surrounding AI democratization. The research design does not aim to manipulate variables but rather to analyze existing relationships. Only 30% of countries, mainly in North America, Europe, and parts of Asia, have significant access to advanced technologies, while less than 20% have implemented national AI policies. Barriers include a lack of infrastructure and high costs, restricting AI adoption in underdeveloped areas. Additionally, ethical implications, such as privacy, transparency, and fairness, are highlighted. To democratize AI, it is crucial to include diverse communities in its design and establish policies that promote equitable access. © 2024 IEEE.","Accessibility; AI policies; Artificial Intelligence; Democratization; Economic barriers; Ethics","10.1109/ICMLANT63295.2024.00030",2024,"Proceedings - 2024 IEEE International Conference on Machine Learning and Applied Network Technologies, ICMLANT 2024"
"13th SIBEN Clinical Consensus on Neonatal Transport: Establishing structured protocols for the neonatal transport process could improve outcomes; [XIII Consenso SIBEN sobre Traslado Neonatal: Establecer protocolos estructurados para el proceso del traslado neonatal podría mejorar los desenlaces]","Lemus-Varela M.L.; Golombek S.G.; Sola A.; Davila-Aliaga C.R.; Pleitez J.; Baquero-Latorre H.; Celiz M.; Fernández P.; Lara-Flores G.; Lima-Rogel M.V.; Mir R.; Bueno M.M.T.; Neira F.; Sánchez-Coyago J.; Young A.; del Socorro A.P.A.; Gabriela A.; Sonia A.; Laura Á.G.; Silvia A.; Luis B.; Rossana B.; Enrique B.V.F.; Ariel B.; Sebastián B.; Lupe C.D.; Marcelo C.; Nieves C.; Ofelia C.; Elizabeth C.; Bibiana C.J.; Tania C.O.; Judith D.; Alexander D.C.; Ana D.; Melida E.; Diana F.; Verónica F.; Steffani F.J.; Larissa G.; Graciela G.; Sergio G.; Zandra G.; Mariela J.; José L.; Alexander L.; Ernesto M.R.L.; Cecilia M.; Elina M.I.; Monica M.; Marcela M.; Nicolás M.; Cristian M.; Karina M.X.; Francisco N.; Luis O.J.; Anabell P.; Antonieta R.R.M.; Hermelinda R.C.; Van Hetten Wine Inés R.; Isabel R.M.E.; Cristina S.; Ignacio S.; Vallejo S.; Liseth V.M.; Elena V.M.; Lorena V.","The centralization of high-risk births in hospitals with the highest level of neonatal care is essential to increase maternal-neonatal safety and improve outcomes. Therefore, it is highly recommended the timely transfer to tertiary care centers of high-risk pregnant women and/or with threats of preterm birth. However, it is not always possible to anticipate the risks prenatally. This results in the need to transfer neonates in critical condition. Unfortunately, the mobilization of these newborns further compromises their health status, especially in Latin American countries. This narrative reports the results of the XII SIBEN Clinical Consensus on Neonatal Transport. In this Consensus, 65 members of SIBEN (Neonatologists and Nurses from 14 Latin American countries) collaborated during 2022, before, during and after the meeting that took place in Mérida, Yucatan, México on November 12, 2022. In this joint meeting the recommendations conveyed here were agreed upon. SIBEN recommends improving health regionalization policies in Latin America, ensuring that there is absolute equity and trying to ensure that tertiary level units do not concentrate only in large cities. It is necessary to improve neonatal transport processes and systematically protocolize each step, to improve outcomes. This includes early risk identification, whenever possible prenatally, continuously maintaining communication channels in a three-way manner: referring hospital, receiving hospital and personnel carrying out the transfer. This would lead to a correct and timely transfer with a wide margin of security. © 2024 American Academy of Pediatrics. All rights reserved.","","10.1542/neo.25-11-e677",2024,"NeoReviews"
"Characterization of Pole-Type Distribution Transformers in Honduras Distribution Network - Part I","Cruz J.N.; Flores W.; Chamorro H.R.; Caro-Ruiz C.; Marulanda A.; Nikolovski S.; Sood V.K.","Load analysis of distribution transformers is essential to understand and protect distribution networks from undesired levels. This paper presents a method of characterization of the Pole-Type Distribution Transformers (PTDT) of the Honduran electrical network based on their rated capacity, voltage level and regional management where they are installed. A methodology for projecting the maximum demand of each equipment is presented, thus determining the number of elements that may be oversized or overloaded.  © 2022 IEEE.","Distribution Networks; Overloading Analysis; Pole-Type Distribution Transformers","10.1109/SST55530.2022.9954635",2022,"Proceedings of International Conference on Smart Systems and Technologies, SST 2022"
"Finite Element Analysis on Solid Ankle-Foot Orthosis with Additive Manufacturing Materials","Serrano K.D.A.; Silva J.D.M.; Leiva K.M.R.","Additive manufacturing shows substantial potential for future advancements in the design and production of ankle-foot orthoses, crucial in the treatment of neuromusculoskeletal conditions. This research compares 3D printing materials and thickness of AFOs using CAD simulations. Various 3D printing materials were evaluated, analyzing density variations. The results showed that polypropylene exhibited a maximum stress of 9,404 MPa in the thinnest model, which decreased with thickness. PLA showed high stress in thin models but improved with thickness, while ABS and Nylon 101 had intermediate values. PLA demonstrated low displacements, indicating superior resistance to deformation, and total deformation results emphasized its ability to withstand loading without excessive deformation. Mechanical stiffness analysis highlighted material specific differences, with PLA exhibiting high stiffness, particularly in thick models, and Nylon 101 consistently showing higher values than other materials. This innovative approach has the potential to develop an effective and personalized AFO, enhancing the quality of life of patients with neuromusculoskeletal conditions. © 2024 IEEE.","Additive Manufacture; Ankle Foot Orthosis; Finite Element Analysis","10.1109/EHB64556.2024.10805597",2024,"2024 12th E-Health and Bioengineering Conference, EHB 2024"
